Date/Time           	Concord Word        	Tweet                                                                                                                   	Type    	Is Covid	Rank  	Tweet Id            	Row#	default             
2019-10-11 14:00:00 	republican          	I will be in Louisiana tonight (Love it!) to get Republicans to vote for either of our two great Republican Candidates and force a run off with John Bel Edwards who has done a really poor job of tax cutting car insurance cost (worst in USA) &amp; is suspect on your 2nd Amendment!	tweet   	No?     	4795  	1182657102357110791 	1   	4795.0              
2019-10-11 14:27:37 	republican          	Will be with our two GREAT Senators @SenJohnKennedy &amp; @SenBillCassidy tonight in Louisiana. These two hard working really smart men love their Country and love their State. We will hopefully add a Great New Republican Governor to the beautiful Louisiana mix! See you tonight!	tweet   	No?     	4795  	1182664051089911812 	2   	4795.0              
2019-10-11 23:55:42 	republican          	Just landed in Louisiana! Vote against John Bel Edwards he has the worst jobs record in the United States. Louisiana will do much better by electing a REPUBLICAN. See everyone soon! @LAGOP https://t.co/V1rVXEEuso	tweet   	No?     	4795  	1182807013719531522 	3   	4795.0              
2019-10-12 03:48:09 	republican          	Louisiana REPUBLICANS thank you for a great evening. Get out TOMORROW and VOTE REPUBLICAN! Send the Radical Democrat establishment a loud and clear message that you are going to FIRE your Democrat Governor John Bel Edwards and send a Great Republican to the Governor’s Mansion! https://t.co/4GHVNz8lda	tweet   	No?     	4795  	1182865510825779200 	4   	4795.0              
2019-10-12 03:49:29 	republican          	LOUISIANA — Tomorrow you will head to the polls and VOTE to REPLACE Liberal Democrat John Bel Edwards with a great new REPUBLICAN Governor! Get out and vote for either @DocAbraham or @EddieRispone (BOTH GREAT)! https://t.co/Qyu6z9nZXr	tweet   	No?     	4795  	1182865849851338753 	5   	4795.0              
2019-10-12 14:16:10 	republican          	Louisiana get out and vote REPUBLICAN before going to the big game today. A runoff will be a tremendous win for your Great State - lower taxes and car insurance and better protection of your 2nd Amendment! Fantastic being with you last night!	tweet   	No?     	4795  	1183023558655709184 	6   	4795.0              
2019-10-13 03:13:10 	republican          	The Governor of Louisiana John Bel Edwards has done a poor job. NOW HE IS IN A RUNOFF WITH A GREAT REPUBLICAN @EddieRispone. Thank you Louisiana! 66% down to 47% after I explained what a bad job the Governor was doing.	tweet   	No?     	4795  	1183219098911682561 	7   	4795.0              
2019-10-13 12:31:29 	republican          	The Media is not talking about the big Republican victory last night in Louisiana where a sitting Democrat Governor was forced into a runoff by not getting 50%. Big upset! Now @EddieRispone who will be a great Governor will win!	tweet   	No?     	4795  	1183359602089484288 	8   	4795.0              
2019-10-15 15:57:15 	republican          	Mississippi there is a VERY important election for Governor on November 5th. I need you to Get Out and Vote for our Great Republican nominee @TateReeves. Tate is strong on Crime tough on Illegal Immigration and will protect your Second Amendment....	tweet   	No?     	4795  	1184136158860730369 	9   	4795.0              
2019-10-16 11:25:52 	republican          	95% Approval Rating in the Republican Party. Thank you! Just won two Congressional Seats in North Carolina  &amp; a Governors runoff in Louisiana which Republicans should now win! Because of Impeachment Fraud we will easily take back the House add in the Senate &amp; again win Pres!	tweet   	No?     	4795  	1184430253541859328 	10  	4795.0              
2019-10-17 17:02:43 	republican          	This number based on the Economy &amp; how well our Country is doing would potentially be 75% if not for the Fake News &amp; Phony Witch Hunt. 95% Approval Rating in the Republican Party! https://t.co/GFLxcNJOkk	tweet   	No?     	4795  	1184877410946187264 	11  	4795.0              
2019-10-18 03:39:18 	republican          	Democrats are now the party of high taxes high crime open borders late-term abortion socialism and blatant corruption. The Republican Party is the party of the American Worker the American Family and the American Dream! #KAG2020 https://t.co/qXB198T5cM	tweet   	No?     	4795  	1185037614685904896 	12  	4795.0              
2019-10-20 21:45:17 	republican          	This Scam going on right now by the Democrats against the Republican Party and me was all about a perfect phone call I had with the Ukrainian President. He’s already stated NO PRESSURE! Where is the Whistleblower or the 2nd Whistleblower or the “informant?” All gone.....	tweet   	No?     	4795  	1186035684525727744 	13  	4795.0              
2019-10-22 00:34:16 	republican          	Thank you Liz. Shows great Republican support! https://t.co/WsuTmv6Tfh                                                  	tweet   	No?     	4795  	1186440600712814593 	14  	4795.0              
2019-10-22 11:57:09 	republican          	95% Approval Rating in the Republican Party. Thank you!                                                                 	tweet   	No?     	4795  	1186612453368651777 	15  	4795.0              
2019-10-23 18:58:41 	republican          	Never Trumper Republican John Bellinger represents Never Trumper Diplomat Bill Taylor (who I don’t know) in testimony before Congress! Do Nothing Democrats allow Republicans Zero Representation Zero due process and Zero Transparency....	tweet   	No?     	4795  	1187080923961012228 	16  	4795.0              
2019-10-25 21:10:25 	republican          	I appreciate the support of Senator @LindseyGraham @SenateMajLdr Mitch McConnell and their Great Senate Republican colleagues on the resolution condemning the Do Nothing Democrats for their Witch Hunt Impeachment inquiry behind closed doors....	tweet   	No?     	4795  	1187838848732020737 	17  	4795.0              
2019-10-26 20:17:18 	republican          	....Our Republican candidate @EddieRispone is a successful conservative businessman who will stand with me to create jobs and protect your Second Amendment. GET OUT AND VOTE for Eddie the next Governor of the GREAT State of Louisiana!	tweet   	No?     	4795  	1188187872114946054 	18  	4795.0              
